"","classifier","auc","acc","run"
"1","randomforest",0.637172669627031,0.440439333628188,1
"2","randomforest",0.703512132822478,0.547163907378961,2
"3","randomforest",0.684519230769231,0.510870154513418,3
"4","randomforest",0.666775646614356,0.535416666666667,4
"5","randomforest",0.657614087301587,0.510822510822511,5
"6","randomforest",0.667719178471867,0.5260348583878,6
"7","randomforest",0.682732558139535,0.507521451069838,7
"8","randomforest",0.640477901545095,0.479761904761905,8
"9","randomforest",0.628426535087719,0.424066924066924,9
"10","randomforest",0.659349318923787,0.453917553917554,10
