"","classifier","auc","acc","run"
"1","randomforest",0.664266143224989,0.502409540791349,1
"2","randomforest",0.67350426389806,0.504084159568031,2
"3","randomforest",0.665574953939909,0.505724094881398,3
"4","randomforest",0.6685782250381,0.502310858410413,4
"5","randomforest",0.649202799371057,0.480030471846332,5
"6","randomforest",0.66241570056239,0.496808936497223,6
"7","randomforest",0.682419129736499,0.520589932808097,7
"8","randomforest",0.677023610007199,0.507717734610707,8
"9","randomforest",0.648530944242266,0.495767873232662,9
"10","randomforest",0.664797558889778,0.48226986369665,10
