"","classifier","auc","acc","run"
"1","randomforest",0.665066825677323,0.508600869167165,1
"2","randomforest",0.651818038119907,0.467443969364855,2
"3","randomforest",0.646899597819322,0.481059828328513,3
"4","randomforest",0.655377647082873,0.48564282568542,4
"5","randomforest",0.671769089615399,0.492536351057968,5
"6","randomforest",0.657339057789216,0.483989545873141,6
"7","randomforest",0.658199787655665,0.51004909232182,7
"8","randomforest",0.650457024315849,0.472774256446855,8
"9","randomforest",0.656289657141358,0.491327380282442,9
"10","randomforest",0.665272798958058,0.498776913042841,10
