"","classifier","auc","acc","prec","rec","run"
"1","randomforest",0.818181818181818,0.61,"1","0.561797752808989",1
"2","randomforest",0.766832034018427,0.63,"0.943650793650794","0.578313253012048",2
"3","randomforest",0.784883720930233,0.59,"0.951388888888889","0.558139534883721",3
"4","randomforest",0.672114402451481,0.54,"0.93102766798419","0.528089887640449",4
"5","randomforest",0.711372549019608,0.59,"0.932350718065004","0.552941176470588",5
"6","randomforest",0.7025,0.6,"0.890096618357488","0.5625",6
"7","randomforest",0.709077380952381,0.605,"0.930232558139535","0.56547619047619",7
"8","randomforest",0.767843137254902,0.6,"0.948426573426573","0.564705882352941",8
"9","randomforest",0.750531537916371,0.59,"0.915373597517307","0.55421686746988",9
"10","randomforest",0.820652173913043,0.565,"0.974358974358974","0.53804347826087",10
