"","classifier","auc","acc","prec","rec","run"
"1","randomforest",0.587444739168877,0.524,"0.89619442481677","0.514942528735632",1
"2","randomforest",0.534411147165489,0.5005,"0.854166666666667","0.501183431952663",2
"3","randomforest",0.588592156862745,0.5335,"0.88135593220339","0.519411764705882",3
"4","randomforest",0.582954124243882,0.531,"0.879438104947","0.518213866039953",4
"5","randomforest",0.574890098810244,0.529,"0.879645323289391","0.516959064327485",5
"6","randomforest",0.581118479221928,0.5215,"0.892537313432836","0.512068965517241",6
"7","randomforest",0.588359372493664,0.528,"0.8836753838496","0.515222482435597",7
"8","randomforest",0.647446924333152,0.5635,"0.894736842105263","0.539520958083832",8
"9","randomforest",0.561489852959047,0.5255,"0.862411347517731","0.514810426540284",9
"10","randomforest",0.59479314227598,0.5375,"0.8996138996139","0.52116704805492",10
