"","classifier","auc","acc","run"
"1","randomforest",0.684155701754386,0.523645320197044,1
"2","randomforest",0.686345405930967,0.463780418788908,2
"3","randomforest",0.603304874138207,0.454757386825698,3
"4","randomforest",0.679866812625433,0.50189746396643,4
"5","randomforest",0.557666508838384,0.427644683222777,5
"6","randomforest",0.607448219569432,0.4418773612322,6
"7","randomforest",0.725620958259847,0.525,7
"8","randomforest",0.64689217032967,0.520678246484698,8
"9","randomforest",0.650563171396505,0.450617283950617,9
"10","randomforest",0.611882716049383,0.432654216185625,10
