"","classifier","auc","acc","prec","rec","run"
"1","randomforest",0.5986363209251,0.5269,"0.873893805309734","0.514559659090909",1
"2","randomforest",0.598605921707525,0.5297,"0.87815684536996","0.516528925619835",2
"3","randomforest",0.614687568796006,0.5394,"0.89419531808273","0.522839072382291",3
"4","randomforest",0.609113617309972,0.5321,"0.884615384615385","0.516839378238342",4
"5","randomforest",0.588000916343048,0.5251,"0.878315132605304","0.513046544428773",5
"6","randomforest",0.598368035302173,0.5313,"0.875671802221426","0.517916468913147",6
"7","randomforest",0.608542747657898,0.5394,"0.886447632641321","0.522700541049165",7
"8","randomforest",0.589353565814378,0.5262,"0.881581482479333","0.514285714285714",8
"9","randomforest",0.612618583283694,0.5366,"0.894232701054118","0.520653442240373",9
"10","randomforest",0.600404150799121,0.5327,"0.884380453752182","0.517756349952963",10
