"","classifier","auc","acc","prec","rec","run"
"1","randomforest",0.775367681511954,0.6196,"0.941553559989848","0.58802733914683",1
"2","randomforest",0.788628447054569,0.6264,"0.949393116058272","0.593096971119981",2
"3","randomforest",0.797917527384446,0.6303,"0.952236542835481","0.5942729201037",3
"4","randomforest",0.789634787759382,0.6302,"0.948703112282447","0.592970790786037",4
"5","randomforest",0.791767836610502,0.6251,"0.94774706550549","0.591507880498706",5
"6","randomforest",0.774330812795417,0.6165,"0.949376652814507","0.583489023820645",6
"7","randomforest",0.79756863406365,0.6295,"0.952185282032125","0.595522737927801",7
"8","randomforest",0.793937598736177,0.6375,"0.951201201201201","0.601303317535545",8
"9","randomforest",0.790035303778646,0.6339,"0.945701357466063","0.59883444338725",9
"10","randomforest",0.782124205802143,0.6175,"0.948229920060906","0.584638765489829",10
