"","classifier","auc","acc","run"
"1","randomforest",0.599038631933369,0.42014157014157,1
"2","randomforest",0.639733430744446,0.45113407981625,2
"3","randomforest",0.644150499706055,0.434027777777778,3
"4","randomforest",0.575359657177839,0.407369920527815,4
"5","randomforest",0.57935818301672,0.435015419119708,5
"6","randomforest",0.645603035802673,0.440751602041925,6
"7","randomforest",0.632406439877704,0.477460317460317,7
"8","randomforest",0.62921146953405,0.440009337068161,8
"9","randomforest",0.596205268248279,0.441483918128655,9
"10","randomforest",0.680256077923098,0.525289575289575,10
