"","classifier","auc","acc","run"
"1","randomforest",0.645672775489311,0.44985846929921,1
"2","randomforest",0.644164035986531,0.488439450902563,2
"3","randomforest",0.656691130969715,0.488656614258058,3
"4","randomforest",0.64747787182099,0.491405899261281,4
"5","randomforest",0.638939837671722,0.46096531443301,5
"6","randomforest",0.63613632800043,0.46128529241523,6
"7","randomforest",0.641828568854367,0.44956662681278,7
"8","randomforest",0.630640994797744,0.458398725263028,8
"9","randomforest",0.631255159991785,0.470473261988114,9
"10","randomforest",0.631708238851096,0.481539898408704,10
