"","classifier","auc","acc","run"
"1","randomforest",0.655888404486777,0.487120487453317,1
"2","randomforest",0.646443846657279,0.477916750253738,2
"3","randomforest",0.649187869554651,0.482770282456376,3
"4","randomforest",0.658642296812208,0.491831822920163,4
"5","randomforest",0.650053006480509,0.483416504705117,5
"6","randomforest",0.639443394263043,0.47170970526128,6
"7","randomforest",0.651886273456246,0.484733448034788,7
"8","randomforest",0.639236156688256,0.479715366002243,8
"9","randomforest",0.657194632730004,0.492937836601728,9
"10","randomforest",0.659647524684774,0.489718693846404,10
